original_code,brand,name,value,price_per_kilo,unit,url,image,supermarket,privateLabel
7666939,PAMPERS,Πάνες Βρακάκι Μωρού Premium Pants Νο7 27 Τεμάχια,12.91,0.48,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Panes-Vrakaki-Moroy/Panes-Vrakaki-Moroy-Premium-Pants-No7-27-Temachia/p/7666939,https://www.ab.gr/medias/sys_master/products/hc1/h16/10378941267998.jpg,ab,False
7760962,NATURE'S PROMISE,Μωρομάντηλα  70 Τεμάχια,1.24,0.02,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Moromantila/Moromantila-70-Temachia/p/7760962,https://www.ab.gr/medias/sys_master/products/hff/h09/10424198987806.jpg,ab,False
7471844,JOHNSON BABY,Conditioner Παιδικό Shiny Drops 500ml,3.44,6.88,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Conditioner-Paidiko-Shiny-Drops-500ml/p/7471844,https://www.ab.gr/medias/sys_master/h75/h06/9501149888542.jpg,ab,False
7474656,PAMPERS,Πάνες Βρακάκι Νο4 Monthly Pack Αποκλειστικά Online 176 Τεμάχια,41.8,0.24,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Panes-Vrakaki-Moroy/Panes-Vrakaki-No4-Monthly-Pack-Apokleistika-Online-176-Temachia/p/7474656,https://www.ab.gr/medias/sys_master/h8a/h39/9858419523614.jpg,ab,False
7473079,JOHNSON BABY,Σαμπουάν Βρεφικό Χαμομήλι Αντλία 750ml,3.24,4.32,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Sampoyan-Vrefiko-Chamomili-Antlia-750ml/p/7473079,https://www.ab.gr/medias/sys_master/h11/h63/9501143924766.jpg,ab,False
7751319,BABYLINO,Πάνες Βρακάκι Premium Pants Νο7 28 Τεμάχια,10.97,0.39,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Panes-Vrakaki-Moroy/Panes-Vrakaki-Premium-Pants-No7-28-Temachia/p/7751319,https://www.ab.gr/medias/sys_master/products/hf2/hcb/10248309080094.jpg,ab,False
7751553,BABYLINO,Πάνες Βρακάκι Premium Pants Νο6 31 Τεμάχια,10.97,0.35,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Panes-Vrakaki-Moroy/Panes-Vrakaki-Premium-Pants-No6-31-Temachia/p/7751553,https://www.ab.gr/medias/sys_master/products/h1b/hd9/10248301871134.jpg,ab,False
7065339,NUTRICIA,Φρουτογευματάκι Κοκτέιλ Φρούτων 4Χ100gr,3.02,7.55,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefikes-trofes/Etoima-Vrefika-Geymata/Froytogeymataki-Kokteil-Froyton-4Ch100gr/p/7065339,https://www.ab.gr/medias/sys_master/hcc/h51/9910037250078.jpg,ab,False
7471798,JOHNSON BABY,Σαμπουάν Baby 500ml,2.46,4.92,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Sampoyan-Baby-500ml/p/7471798,https://www.ab.gr/medias/sys_master/h0c/h55/9501173219358.jpg,ab,False
7751339,BABYLINO,Πάνες Premium No3 56 Τεμάχια,14.34,0.26,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Panes-Moroy/Anoichtes-Panes-Moroy/Panes-Premium-No3-56-Temachia/p/7751339,https://www.ab.gr/medias/sys_master/products/h3b/h7f/10248259665950.jpg,ab,False
7608569,PRODERM,Αφρόλουτρο Άρωμα Πούδρας 3+ Ετών 500ml,3.99,7.98,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Afroloytro-Aroma-Poydras-3-Eton-500ml/p/7608569,https://www.ab.gr/medias/sys_master/h8e/h1c/9947754233886.jpg,ab,False
7538369,JOHNSON BABY,Αφρόλουτρο Kids Bubble Bath Παιδικό 750ml,3.51,4.68,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Afroloytro-Kids-Bubble-Bath-Paidiko-750ml/p/7538369,https://www.ab.gr/medias/sys_master/hca/h6f/9501153820702.jpg,ab,False
7473090,JOHNSON BABY,Αφρόλουτρο Baby Blue 750ml,3.34,4.45,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefiko-Sampoyan-and-Afroloytro/Afroloytro-Baby-Blue-750ml/p/7473090,https://www.ab.gr/medias/sys_master/hd8/h8d/9741990723614.jpg,ab,False
7471917,JOHNSON BABY,Λοσιόν Baby Bedtime 300ml,2.91,9.7,Κομμάτι,https://www.ab.gr/el/eshop/Ola-gia-to-moro/Vrefiki-Peripoiisi-Somatos/Vrefikes-Kremes-Somatos-and-Poydres/Losion-Baby-Bedtime-300ml/p/7471917,https://www.ab.gr/medias/sys_master/h39/hf0/9501128720414.jpg,ab,False
